"FALSE","obs","pred"
"1",0,0.0733836815358559
"2",0,0.290514184397163
"3",0,0.616666666666667
"4",0,0.475732600732601
"5",0,0.189369369369369
"6",0,0.11324826130154
"7",0,0.306195462478184
"8",0,0.0553886554621852
"9",0,0.319514237855946
"10",0,0.442416225749559
"11",0,0.352453951277481
"12",0,0.493499943329933
"13",0,0.381894430355968
"14",0,0.0537822453725942
"15",0,0.0753054101221646
"16",0,0.748689138576779
"17",0,0.134352771738631
"18",0,0.629120879120879
"19",0,0.672619047619047
"20",0,0.408563535911602
"21",0,0.0488888888888899
"22",0,0.166731489484298
"23",0,0.36189138576779
"24",0,0.102598303805743
"25",0,0.869020715630885
"26",0,0.0299471349849926
"27",0,0.189306156806156
"28",0,0.535087719298246
"29",0,0.765555555555555
"30",0,0.0895412615307907
"31",0,0.188122605363984
"32",0,0.174039058767319
"33",0,0.387158469945355
"34",0,0.124339933993399
"35",0,0.123877551020408
"36",0,0.550698602794411
"37",0,0.0555407801418447
"38",0,0.035130319754665
"39",0,0.139278752436647
"40",0,0.113128841644467
"41",0,0.110903056404627
"42",0,0.0117730927321604
"43",0,0.0178571428571427
"44",0,0.0635087719298252
"45",0,0.131246325690769
"46",0,0.300537634408602
"47",0,0.553130755064457
"48",0,0.0451763156611231
"49",0,0.350821995464852
"50",0,0.731456953642383
"51",0,0.0609890109890114
"52",0,0.0149225691799966
"53",0,0.0712032286071613
"54",0,0.120959595959596
"55",0,0.138276836158191
"56",0,0.0157852124818035
"57",0,0.12932389937107
"58",0,0.0204293813001997
"59",0,0.0529780982905983
"60",0,0.0154255319148947
"61",0,0.0446730137141568
"62",0,0.245438596491228
"63",0,0.202937900306321
"64",0,0.403968253968254
"65",0,0.337105751391465
"66",0,0.644226750261233
"67",0,0.388278388278388
"68",0,0.0843495934959345
"69",0,0.0301238290287112
"70",0,0.116315789473684
"71",0,0.0707875457875462
"72",0,0.283870967741935
"73",0,0.250295857988165
"74",0,0.709369817578772
"75",0,0.239594356261022
"76",0,0.0152380952380962
"77",0,0.137145390070922
"78",0,0.00570598609814427
"79",0,0.18353057199211
"80",0,0.227740565960242
"81",0,0.605175175175175
"82",0,0.0686168170082038
"83",0,0.382549019607843
"84",0,0.116134586070085
"85",0,0.257142857142857
"86",0,0.0246113342439881
"87",0,0.326262626262626
"88",0,0.128985507246376
"89",0,0.516916666666667
"90",0,0.405367231638418
"91",0,0.299428571428571
"92",0,0.14046511627907
"93",0,0.724031007751938
"94",0,0.319067285760834
"95",0,0.215433591231463
"96",0,0.132095709570957
"97",0,0.0708177316510654
"98",0,0.518478260869565
"99",0,0.0800376647834277
"100",0,0.0272943197897728
"101",0,0.430110497237569
"102",0,0.161245649775061
"103",0,0.514325842696629
"104",0,0.267619047619047
"105",0,0.360281923714759
"106",0,0.0419950771702581
"107",0,0.0563746789431808
"108",0,0.102887788778879
"109",0,0.604469273743017
"110",0,0.59559925093633
"111",0,0.332740319844392
"112",0,0.0345924485647229
"113",0,0.144938917975567
"114",0,0.281441441441441
"115",0,0.227019562060423
"116",0,0.554135218313984
"117",0,0.19051282051282
"118",0,0.137338709677419
"119",0,0.245174474648158
"120",0,0.541617933723197
"121",0,0.0713026120870754
"122",0,0.168469343696027
"123",0,0.170673952641165
"124",0,0.448875255623722
"125",0,0.340259398720937
"126",0,0.392641843971631
"127",0,0.0825376884422119
"128",0,0.231211906728009
"129",0,0.160666666666666
"130",0,0.217477203647416
"131",0,0.506782945736434
"132",0,0.510810810810811
"133",0,0.863999999999999
"134",0,0.757695157270829
"135",0,0.0254980061377892
"136",0,0.323659147869674
"137",0,0.832073643410852
"139",0,0.568123861566485
"140",0,0.0330615942028996
"141",0,0.0434605517548475
"142",0,0.270746527777777
"143",0,0.033776947087258
"144",0,0.431588132635253
"145",0,0.137193973634651
"146",0,0.28342541436464
"147",0,0.0207225630538517
"148",0,0.140514415332729
"149",0,0.184809027777777
"150",0,0.164312617702448
"151",0,0.0919377984711013
"152",0,0.0931586688080575
"153",0,0.141544566544566
"154",0,0.481810490693739
"155",0,0.1524208566108
"156",0,0.523861620342992
"157",0,0.646491228070175
"158",0,0.0506638550452994
"159",0,0.0392380952380959
"160",0,0.164667777519439
"161",0,0.613815789473684
"162",0,0.295113438045375
"163",0,0.111523809523809
"164",0,0.0935336976320582
"165",0,0.0998299319727896
"166",0,0.660338680926916
"167",0,0.16292265999583
"168",0,0.0664061247394588
"169",0,0.0465973296112586
"170",0,0.393737611073137
"171",0,0.0511494252873575
"172",0,0.163362267362267
"173",0,0.0446823233603797
"174",0,0.193502294534834
"175",0,0.68389199255121
"176",0,0.0958823529411761
"177",0,0.0410254229897097
"178",0,0.304915845648604
"179",0,0.855613126079447
"180",0,0.802222222222222
"181",0,0.0416173570019727
"182",0,0.147988505747126
"183",0,0.400757575757576
"184",0,0.485106382978723
"185",0,0.403142857142857
"186",0,0.213275193798449
"187",0,0.104505847282733
"188",0,0.218015873015872
"189",0,0.100282335424839
"190",0,0.239605734767025
"191",0,0.0697333940022078
"192",0,0.513467605566138
"193",0,0.0191792294807384
"194",0,0.0404901960784317
"195",0,0.0399152174238688
"196",0,0.192003367003366
"197",0,0.149468698815104
"198",0,0.46965811965812
"199",0,0.00674157303370887
"200",0,0.0702618681881359
"201",0,0.148498064612791
"202",0,0.0761140819964355
"203",0,0.400170068027211
"204",0,0.116225749559083
"205",0,0.26303604314654
"206",0,0.256936936936936
"207",0,0.171031191806331
"208",0,0.528968253968254
"209",0,0.113089005235602
"210",0,0.474521774521774
"211",0,0.63766859344894
"212",0,0.460606060606061
"213",0,0.435931899641577
"214",0,0.0932071482439124
"215",0,0.647771500313873
"216",0,0.537297297297297
"217",0,0.190070921985815
"218",0,0.0267702936096731
"219",0,0.185310734463276
"220",0,0.208241758241758
"221",0,0.176291248206599
"222",0,0.386030828516378
"223",0,0.829268292682926
"224",0,0.157407407407407
"225",0,0.0265358699960371
"226",0,0.162858977887879
"227",0,0.0516377649325629
"228",0,0.20204991087344
"229",0,0.472854291417166
"230",0,0.0611872909699004
"231",0,0.0467208369834428
"232",0,0.401881637915157
"233",0,0.22993869404049
"234",0,0.146296296296295
"235",0,0.599355432780847
"236",0,0.0726003490401403
"237",0,0.190686274509803
"238",0,0.0191640103992623
"239",0,0.56456043956044
"240",0,0.16413612565445
"241",0,0.191347558265066
"242",0,0.0197802197802208
"243",0,0.247884940778341
"244",0,0.116127404408217
"245",0,0.458924485125858
"246",0,0.0914835164835165
"247",0,0.0773006134969323
"248",0,0.449483497102545
"249",0,0.415998438504639
"250",0,0.266493055555555
"251",0,0.463471502590673
"252",0,0.219191919191918
"253",0,0.0961730564409136
"254",0,0.334273504273504
"255",0,0.0564971751412434
"256",0,0.0214152700186228
"257",0,0.172577996715927
"258",0,0.536489151873767
"259",0,0.0864640883977903
"260",0,0.403717767439032
"261",0,0.354545454545454
"262",0,0.707380492204613
"263",0,0.0415921503533956
"264",0,0.127380952380952
"265",0,0.134111868484362
"266",0,0.0186842105263171
"267",0,0.0749942872536461
"268",0,0.299462365591397
"269",0,0.220552147239263
"270",0,0.296693121693121
"271",0,0.0852356788638649
"272",0,0.210531135531135
"273",0,0.610232744783307
"274",0,0.4200612751304
"275",0,0.0597670250896064
"276",0,0.0974110384894696
"277",0,0.276203703703703
"278",0,0.483163265306122
"279",0,0.300802469135802
"280",0,0.259475110754914
"281",0,0.334291187739463
"282",0,0.0931578947368425
"283",0,0.423777339809948
"284",0,0.0121657754010702
"285",0,0.341935483870968
"286",0,0.171956241956241
"287",0,0.217859042460491
"288",0,0.500662878787879
"289",0,0.107679063360881
"290",0,0.126857142857142
"291",0,0.118808236900169
"292",0,0.192980514855514
"293",0,0.069462782544965
"294",0,0.0261235955056189
"295",0,0.12470588235294
"296",0,0.107297830374753
"297",0,0.0587857625591357
"298",0,0.16141414141414
"299",0,0.173869514569433
"300",0,0.023637566137567
"301",0,0.448788043649437
"302",0,0.0138872167464552
"303",0,0.0643864684787871
"304",0,0.351483420593368
"305",0,0.0359375000000003
"306",0,0.302173913043478
"307",0,0.475357142857143
"308",0,0.0592097459454805
"309",0,0.548191517043976
"310",0,0.0134079488350859
"311",0,0.42756734006734
"312",0,0.0474606692493855
"313",0,0.658286252354049
"314",0,0.114616833260901
"315",0,0.234680134680134
"316",0,0.018632958801499
"317",0,0.463584921147946
"318",0,0.0188847907779298
"319",0,0.505396635024327
"320",0,0.301029962546816
"321",0,0.709840425531914
"322",0,0.420513158721186
"323",0,0.0251846037560334
"324",0,0.633908045977011
"325",0,0.207508368824158
"326",0,0.0816628179211368
"327",0,0.0437810945273645
"328",0,0.0977455596674452
"329",0,0.256605119971456
"330",0,0.709009009009008
"331",0,0.144840540382819
"332",0,0.624157904116913
"333",0,0.0462393162393174
"334",0,0.271332371332371
"335",0,0.0804038893044133
"336",0,0.0574509803921572
"337",0,0.151134380453751
"338",0,0.211658902691511
"339",0,0.600173611111111
"340",0,0.553703703703704
"341",0,0.387953795379538
"342",0,0.0345063649222072
"343",0,0.222119565217391
"344",0,0.149305555555555
"345",0,0.307912851483862
"346",0,0.405095649229728
"347",0,0.540584415584416
"348",0,0.175438596491228
"349",0,0.044819583103284
"350",0,0.0655897979182243
"351",1,0.344563279857397
"352",1,0.932991452991454
"353",1,0.742278719397363
"354",1,0.974497991967872
"355",1,0.662383612662942
"356",1,0.526086956521739
"357",1,0.846268354723089
"358",1,0.951988636363637
"359",1,0.94889502762431
"360",1,0.812476722532588
"361",1,0.935341365461847
"362",1,0.14781435394872
"363",1,0.873315602836879
"364",1,0.723767258382643
"365",1,0.857227891156462
"366",1,0.285909822866344
"367",1,0.756578947368421
"368",1,0.683263888888888
"369",1,0.936898395721926
"370",1,0.671470588235294
"371",1,0.87089552238806
"372",1,0.51537037037037
"373",1,0.952354048964219
"374",1,0.654439252336448
"375",1,0.772565543071161
"376",1,0.319474637681159
"377",1,0.932994923857869
"378",1,0.379618473895582
"379",1,0.854852693602693
"380",1,0.647014925373134
"381",1,0.799612403100775
"382",1,0.822777777777777
"383",1,0.967736185383245
"384",1,0.967790262172285
"385",1,0.932136752136753
"386",1,0.69140813146338
"387",1,0.632549019607843
"388",1,0.807460929137229
"389",1,0.824242424242424
"390",1,0.949960996191667
"391",1,0.557961709085299
"392",1,0.743099787685774
"393",1,0.88510101010101
"394",1,0.555220883534137
