"FALSE","obs","pred"
"1",0,0.0279999999999992
"3",0,0.685164835164835
"4",0,0.400263157894736
"5",0,0.161740041928722
"6",0,0.0579931972789111
"7",0,0.291485507246378
"8",0,0.031275720164609
"9",0,0.356752136752136
"10",0,0.297800338409476
"11",0,0.466276803118908
"12",0,0.544843462246777
"13",0,0.507267441860465
"14",0,0.13698175787728
"15",0,0.115740740740742
"16",0,0.827689594356262
"17",0,0.109767025089606
"18",0,0.551552795031056
"19",0,0.628937728937729
"20",0,0.279775280898877
"23",0,0.391354166666667
"24",0,0.0267379679144379
"25",0,0.910160427807488
"26",0,0.00110497237568996
"28",0,0.519412878787879
"29",0,0.864942528735633
"30",0,0.209564393939395
"31",0,0.189736346516009
"32",0,0.258506944444445
"33",0,0.530056179775281
"35",0,0.0364130434782607
"36",0,0.566569767441861
"37",0,0.0732638888888885
"38",0,0.00526315789473597
"39",0,0.13358843537415
"40",0,0.120017636684303
"42",0,0.00335008375209289
"43",0,0.033246977547495
"45",0,0.154885057471265
"46",0,0.242857142857144
"47",0,0.584139784946237
"48",0,0.0174731182795695
"51",0,0.0511168384879721
"52",0,0.0171957671957668
"53",0,0.02046783625731
"54",0,0.0963054187192116
"55",0,0.108100558659218
"56",0,0.00648648648648609
"57",0,0.0830033003300327
"58",0,0.0202857142857135
"59",0,0.00987654320987563
"61",0,0.0204991087344027
"62",0,0.368621973929236
"64",0,0.305094991364422
"65",0,0.191431261770246
"67",0,0.474715909090909
"68",0,0.0637931034482757
"69",0,0.0247093023255812
"70",0,0.136050724637682
"71",0,0.0529729729729724
"72",0,0.242184557438795
"73",0,0.297644927536232
"74",0,0.768659420289856
"75",0,0.210256410256411
"76",0,0.0058139534883711
"77",0,0.213386524822696
"78",0,-9.99200722162641e-16
"81",0,0.5725
"82",0,0.00824999999999876
"83",0,0.347504456327986
"85",0,0.433583333333333
"86",0,0.0195462478184983
"87",0,0.33210922787194
"88",0,0.0928143712574853
"89",0,0.512301587301587
"90",0,0.449551971326165
"91",0,0.402504816955684
"93",0,0.753664921465969
"94",0,0.275605214152701
"95",0,0.150793650793651
"98",0,0.608961474036851
"100",0,0.0199829931972785
