"FALSE","obs","pred"
"1",0,0.328014184397163
"2",0,0.31859862662957
"3",0,0.251230439858399
"4",0,0.599543322602733
"5",0,0.65635282266385
"6",0,0.436430611273543
"7",0,0.0878696009837271
"8",0,0.173269461805364
"9",0,0.208043298742678
"10",0,0.35508462421113
"11",0,0.369985573089538
"12",0,0.30187074829932
"13",0,0.508892721861472
"14",0,0.233154121863799
"15",0,0.568240093240093
"16",0,0.564437606608286
"17",0,0.399350044441831
"18",0,0.355848295602394
"19",0,0.516580828820976
"20",0,0.348839860215121
"21",0,0.348430433625964
"22",0,0.443014803451912
"23",0,0.516246298992873
"24",0,0.149892167011732
"25",0,0.408331785179949
"26",0,0.234297924297925
"27",0,0.754999373021098
"28",0,0.565575241085445
"29",0,0.564609822986786
"30",0,0.605068482833906
"31",0,0.267845117845118
"32",0,0.534222444332327
"33",0,0.396317662674167
"34",0,0.427411634756996
"35",0,0.161777189974548
"36",0,0.491971763579804
"37",0,0.315350862838497
"38",0,0.323411141812765
"39",0,0.471489008733091
"40",0,0.363304040651998
"41",0,0.283989894823537
"42",0,0.262274629473311
"43",0,0.585830168746595
"44",0,0.228348900247447
"45",0,0.501418951418951
"46",0,0.262455908289242
"47",0,0.241783802984523
"48",0,0.311355311355311
"49",0,0.231780135689915
"50",0,0.630083158634295
"51",0,0.606082135604378
"52",0,0.409598022259538
"53",0,0.628368460853248
"54",0,0.272483746971358
"55",0,0.575522606645056
"56",0,0.417029671717172
"57",0,0.353304894612705
"58",0,0.241465201465201
"59",0,0.288342886840481
"60",0,0.270222253365091
"61",0,0.632124669316332
"62",0,0.407501052955347
"63",0,0.414193629929221
"64",0,0.451808266784975
"65",0,0.69682893385055
"66",0,0.489139515455305
"67",0,0.20483282204544
"68",0,0.267441860465116
"69",0,0.510546875
"70",0,0.524355046084717
"71",0,0.471365321539572
"72",0,0.371415861226986
"73",0,0.369813219961615
"74",0,0.474774774774775
"75",0,0.43745056328066
"76",0,0.601821084438085
"77",0,0.810931899641577
"78",0,0.198411976911977
"79",0,0.427778183132813
"80",0,0.329061127997298
"81",0,0.466301110717706
"82",0,0.0856555953279766
"83",0,0.247620368413638
"84",0,0.481848911577261
"85",0,0.297522098990574
"86",0,0.565236613396189
"87",0,0.554416328536898
"88",0,0.452062525865624
"89",0,0.783505154639175
"90",0,0.652584495780264
"91",0,0.180752577782567
"92",0,0.329306845849103
"93",0,0.388076296130673
"94",0,0.560584678717279
"95",0,0.442254929056803
"96",0,0.44301750507877
"97",0,0.60440434335462
"98",0,0.293234871104243
"99",0,0.508522727272727
"100",0,0.22665410991983
"101",0,0.376839561174833
"102",0,0.683601718502053
"103",0,0.541762532503868
"104",0,0.809277920690812
"105",0,0.35572437077962
"106",0,0.0807986016937305
"107",0,0.404659190782721
"108",0,0.286540335979988
"109",0,0.307457438934123
"110",0,0.188386524822695
"111",0,0.511090902726771
"112",0,0.35814893100134
"113",0,0.789359698681733
"114",0,0.225905797101449
"115",0,0.595093062605753
"116",0,0.688991390031968
"117",0,0.178688544252514
"118",0,0.265868239657865
"119",0,0.419917920814844
"120",0,0.467584866848251
"121",0,0.21867201426025
"122",0,0.328101195469523
"123",0,0.724164920068418
"124",0,0.474481574891411
"125",0,0.399815879324076
"126",0,0.187288320605423
"127",0,0.199937771777638
"128",0,0.202239286930298
"129",0,0.378417818740399
"130",0,0.164816704036693
"131",0,0.274791623562713
"132",0,0.319327612601724
"133",0,0.407099337683406
"134",0,0.552829929732104
"135",0,0.19741581621586
"136",0,0.204675401910014
"137",0,0.447301131329241
"138",0,0.281151832460733
"139",0,0.272692370630515
"140",0,0.179300192036487
"141",0,0.362876814501396
"142",0,0.290844979296066
"143",0,0.618478351200864
"144",0,0.72252605222253
"145",0,0.262511586452763
"146",0,0.538086731988401
"147",0,0.659984227590252
"148",0,0.543556701030928
"149",0,0.613182985090748
"150",0,0.383801704111217
"151",0,0.28389341355443
"152",0,0.432609649122807
"153",0,0.406383450165176
"154",0,0.590290914742139
"155",0,0.445613267411297
"156",0,0.427725750477227
"157",0,0.751079757494408
"158",0,0.371937638747473
"159",0,0.646401314424615
"160",0,0.389233954451346
"161",0,0.182205221440081
"162",0,0.17858080821959
"163",0,0.374491166524446
"164",0,0.17589605734767
"165",0,0.559955488105194
"166",0,0.594282316742634
"167",0,0.323272182925176
"168",0,0.538568935427574
"169",0,0.148003002023103
"170",0,0.28615873015873
"171",0,0.307156357745192
"172",0,0.38163430420712
"173",0,0.350445632798574
"174",0,0.354242840667328
"175",0,0.396527777777778
"176",0,0.606397615153021
"177",0,0.604070881226054
"178",0,0.502614379084967
"179",0,0.176884345977423
"180",0,0.352546431960881
"181",0,0.256942525256201
"182",0,0.370261831317218
"183",0,0.291702582766657
"184",0,0.309157971123289
"185",0,0.481772180025825
"186",0,0.248449074211742
"187",0,0.566400906989143
"188",0,0.399634235875275
"189",0,0.402623825449912
"190",0,0.486712301587302
"191",0,0.337749138580321
"192",0,0.773785339427798
"193",0,0.603736650346558
"194",0,0.163353489543966
"195",0,0.254540945165945
"196",0,0.361351351351351
"197",0,0.71151079550008
"198",0,0.421397357028936
"199",0,0.479754924953096
"200",0,0.33497447934094
"201",0,0.306413175470552
"202",0,0.516638805322412
"203",0,0.35892198717468
"204",0,0.316106524622524
"205",0,0.624120670995671
"206",0,0.745817610587947
"207",0,0.330407975862521
"208",0,0.655929902794767
"209",0,0.399070058569239
"210",0,0.747619217480953
"211",0,0.499036608863198
"212",0,0.433341961909976
"213",0,0.550022598526501
"214",0,0.381257731783895
"215",0,0.380855989982974
"216",0,0.62432853448922
"217",0,0.614768087529871
"218",0,0.584326847719077
"219",0,0.281830832136041
"220",0,0.328850758180367
"221",0,0.302905854757941
"222",0,0.410594260899239
"223",0,0.304490500863558
"224",0,0.351643990929705
"225",0,0.334377577047734
"226",0,0.202920575507956
"227",0,0.536407681465821
"228",0,0.223159009449332
"229",0,0.610354244223835
"230",0,0.499843925778467
"231",0,0.336695075757576
"232",0,0.493777348777349
"234",0,0.23830972054492
"235",0,0.186012408347434
"236",0,0.368562504021191
"237",0,0.468906810035842
"238",0,0.694703511801957
"239",0,0.388325151301929
"240",0,0.433525611444393
"241",0,0.724661230375635
"242",0,0.649221877825132
"243",0,0.385572948139747
"244",0,0.295008831199389
"245",0,0.429767938027188
"246",0,0.317014324309016
"247",0,0.538762905437187
"248",0,0.608848696102252
"249",0,0.489532241282755
"250",0,0.311393596986817
"251",0,0.400371057513915
"252",0,0.582429538607928
"253",0,0.233816435524162
"254",0,0.320888030888031
"255",0,0.24985119047619
"256",0,0.354678261809357
"257",0,0.540414507772021
"258",0,0.561412138586052
"259",0,0.371492653579922
"260",0,0.55329071969697
"261",0,0.556313784215118
"262",0,0.512629647708866
"263",0,0.301590187037948
"264",0,0.460647872887268
"265",0,0.605322502609004
"266",0,0.573331878999418
"267",0,0.447579318071121
"268",0,0.464895903416312
"269",0,0.351665088383838
"270",0,0.453244374672946
"271",0,0.323182044344078
"272",0,0.24711989123661
"273",0,0.53146783506032
"274",0,0.516269841269841
"275",0,0.186859383306752
"276",0,0.435451197053407
"277",0,0.189309764309764
"278",0,0.385042120458046
"279",0,0.610155609827406
"280",0,0.23127147766323
"281",0,0.35121322414316
"282",0,0.20169890817376
"283",0,0.519210755211526
"284",0,0.362082441973339
"285",0,0.20619049906508
"286",0,0.408984842723071
"287",0,0.398162919990331
"288",0,0.35550038197097
"289",0,0.388294356408543
"290",0,0.17456684791952
"291",0,0.278164556962025
"292",0,0.179099462365591
"293",0,0.139427556621615
"294",0,0.309715284715285
"295",0,0.610263683352898
"296",0,0.333546862897967
"297",0,0.57154071773637
"298",0,0.336951604842955
"299",0,0.315559800889421
"300",0,0.233928571428571
"301",0,0.675585290820809
"302",0,0.438453038924737
"303",0,0.500215078980513
"304",0,0.278503787878788
"305",0,0.254284783317041
"306",0,0.240798411888875
"307",0,0.34863834991971
"308",0,0.436640810170222
"309",0,0.434717804529284
"310",0,0.292414174972314
"311",0,0.278147451632629
"312",0,0.484180211421557
